,Sales_ID,Brand_Name,Car_Name,Year,Selling_Price,km_Driven,City_Code,State_Code,Postal_Code,Fuel,Seller_Type,Transmission,Owner,Mileage,Max_Power,Engine,Seats,City_Name
0,1,Maruti, Swift Dzire VDI,2014,450000,145500,CT01,ST15,400001,Diesel,Individual,Manual,First Owner,23.4,74.0,1248.0,5,Mumbai
1,2,Skoda, Rapid 1.5 TDI Ambition,2014,370000,120000,CT28,ST11,834001,Diesel,Individual,Manual,Second Owner,21.14,103.52,1498.0,5,Ranchi
2,3,Honda, City 2017-2020 EXi,2006,158000,140000,CT12,ST28,201301,Petrol,Individual,Manual,Third Owner,17.7,78.0,1497.0,5,Noida
3,4,Hyundai, i20 Sportz Diesel,2010,225000,127000,CT21,ST27,248001,Diesel,Individual,Manual,First Owner,23.0,90.0,1396.0,5,Dehradun
4,5,Maruti, Swift VXI BSIII,2007,130000,120000,CT03,ST24,600020,Petrol,Individual,Manual,First Owner,16.1,88.2,1298.0,5,Chennai
5,6,Hyundai, Xcent 1.2 VTVT E Plus,2017,440000,45000,CT06,ST22,302029,Petrol,Individual,Manual,First Owner,20.14,81.86,1197.0,5,Jaipur
6,7,Maruti, Wagon R LXI DUO BSIII,2007,96000,175000,CT06,ST22,302029,LPG,Individual,Manual,First Owner,17.3,57.5,1061.0,5,Jaipur
7,8,Maruti, 800 DX BSII,2001,45000,5000,CT02,ST15,411002,Petrol,Individual,Manual,Second Owner,16.1,37.0,796.0,4,Pune
8,9,Toyota, Etios VXD,2011,350000,90000,CT26,ST15,431001,Diesel,Individual,Manual,First Owner,23.59,67.1,1364.0,5,Aurangabad
9,10,Ford, Figo Diesel Celebration Edition,2013,200000,169000,CT10,ST12,560034,Diesel,Individual,Manual,First Owner,20.0,68.1,1399.0,5,Bangalore
10,11,Renault, Duster 110PS Diesel RxL,2014,500000,68000,CT21,ST27,248001,Diesel,Individual,Manual,Second Owner,19.01,108.45,1461.0,5,Dehradun
11,12,Maruti, Zen LX,2005,92000,100000,CT25,ST01,524225,Petrol,Individual,Manual,Second Owner,17.3,60.0,993.0,5,Nellore
12,13,Maruti, Swift Dzire VDi,2009,280000,140000,CT04,ST24,641001,Diesel,Individual,Manual,Second Owner,19.3,73.9,1248.0,5,Coimbatore
13,15,Maruti, Wagon R LXI Minor,2009,180000,90000,CT20,ST28,208002,Petrol,Individual,Manual,Second Owner,18.9,67.0,1061.0,5,kanpur
14,16,Mahindra, KUV 100 mFALCON G80 K8 5str,2016,400000,40000,CT16,ST23,737101,Petrol,Individual,Manual,First Owner,18.15,82.0,1198.0,5,Gangtok
15,17,Maruti, Ertiga SHVS VDI,2016,778000,70000,CT07,ST13,682001,Diesel,Individual,Manual,Second Owner,24.52,88.5,1248.0,7,Kochi
16,18,Hyundai, i20 1.4 CRDi Asta,2012,500000,53000,CT01,ST15,400001,Diesel,Individual,Manual,Second Owner,23.0,90.0,1396.0,5,Mumbai
17,19,Maruti, Alto LX,2002,150000,80000,CT17,ST07,391510,Petrol,Individual,Manual,Second Owner,19.7,46.3,796.0,5,Vadodara
18,20,Hyundai, i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,CT09,ST34,110039,Diesel,Individual,Manual,First Owner,22.54,88.73,1396.0,5,Delhi
19,21,Mahindra, Verito 1.5 D4 BSIII,2011,174000,100000,CT19,ST12,570004,Diesel,Individual,Manual,Second Owner,21.0,64.1,1461.0,5,Mysore
20,22,Honda, WR-V i-DTEC VX,2017,950000,50000,CT18,ST21,141003,Diesel,Individual,Manual,First Owner,25.5,98.6,1498.0,5,Ludhiana
21,23,Maruti, Swift Dzire ZDI,2015,525000,40000,CT22,ST14,452010,Diesel,Individual,Manual,First Owner,26.59,74.0,1248.0,5,Indore
22,24,Maruti, SX4 ZDI,2012,600000,72000,CT18,ST21,141003,Diesel,Individual,Manual,First Owner,21.5,88.8,1248.0,5,Ludhiana
23,25,Tata, Tigor 2017-2020 XZ,2018,500000,35000,CT06,ST22,302029,Petrol,Individual,Manual,First Owner,20.3,83.81,1199.0,5,Jaipur
24,26,Maruti, Baleno Delta 1.2,2016,575000,45000,CT27,ST11,831001,Petrol,Individual,Manual,First Owner,21.4,83.1,1197.0,5,Jamshedpur
25,27,Maruti, Alto 800 LXI,2017,275000,28000,CT26,ST15,431001,Petrol,Individual,Manual,First Owner,24.7,47.3,796.0,5,Aurangabad
26,28,Chevrolet, Enjoy TCDi LTZ 7 Seater,2013,300000,70000,CT08,ST29,700027,Diesel,Individual,Manual,First Owner,18.2,73.8,1248.0,7,Kolkata
27,29,Maruti, Wagon R LXI Minor,2009,220000,120000,CT28,ST11,834001,Petrol,Individual,Manual,First Owner,18.9,67.0,1061.0,5,Ranchi
28,30,Maruti, Omni E MPI STD BS IV,2018,254999,25000,CT05,ST25,500004,Petrol,Individual,Manual,First Owner,16.8,34.2,796.0,8,Hyderabad
29,31,Maruti, Vitara Brezza LDi Option,2017,670000,70000,CT13,ST04,801110,Diesel,Individual,Manual,First Owner,24.3,88.5,1248.0,5,Patna
30,33,Maruti, Omni 8 Seater BSIV,2012,150000,35000,CT24,ST13,680004,Petrol,Individual,Manual,Second Owner,14.0,35.0,796.0,5,Thrissur
31,34,Hyundai, i20 1.2 Asta Dual Tone,2018,730000,2388,CT19,ST12,570004,Petrol,Individual,Manual,First Owner,18.6,81.83,1197.0,5,Mysore
32,35,Maruti, Vitara Brezza LDi,2017,650000,16200,CT20,ST28,208002,Diesel,Individual,Manual,First Owner,24.3,88.5,1248.0,5,kanpur
33,36,Maruti, Alto 800 CNG LXI Optional,2019,330000,10000,CT10,ST12,560034,CNG,Individual,Manual,Second Owner,33.44,40.3,796.0,4,Bangalore
34,37,Maruti, Alto K10 VXI Airbag,2019,366000,15000,CT13,ST04,801110,Petrol,Individual,Manual,First Owner,23.95,67.1,998.0,5,Patna
35,38,Hyundai, Verna VTVT 1.6 SX Option,2019,1149000,5000,CT22,ST14,452010,Petrol,Individual,Manual,First Owner,17.0,121.3,1591.0,5,Indore
36,39,Datsun, GO D,2016,150000,42000,CT04,ST24,641001,Petrol,Individual,Manual,First Owner,20.63,67.0,1198.0,5,Coimbatore
37,40,Tata, Safari DICOR 2.2 LX 4x2,2011,425000,60000,CT20,ST28,208002,Diesel,Individual,Manual,Second Owner,13.93,138.03,2179.0,7,kanpur
38,41,Maruti, 800 Std,2012,150000,76000,CT12,ST28,201301,Petrol,Individual,Manual,First Owner,16.1,37.0,796.0,4,Noida
39,42,Jeep, Compass 1.4 Limited Plus BSIV,2019,2100000,5000,CT28,ST11,834001,Petrol,Individual,Automatic,First Owner,16.0,160.77,1368.0,5,Ranchi
40,43,Honda, City i VTEC VX,2018,925000,28900,CT19,ST12,570004,Petrol,Dealer,Manual,First Owner,17.8,117.3,1497.0,5,Mysore
41,44,Honda, City V MT,2013,425000,86300,CT10,ST12,560034,Petrol,Dealer,Manual,First Owner,16.8,116.3,1497.0,5,Bangalore
